rank,season,combo_key,combo_url,blade,assist_blade,ratchet,bit,lock_chip,score,placements_1st,placements_2nd,placements_3rd,placements_4th,total_placements,win_rate,podium_rate
51,Off Season 2025,TyrannoBeat|None|6-60|Kick|None,https://beybladexmeta.com/combo/TyrannoBeat|None|6-60|Kick|None?season=Off+Season+2025,TyrannoBeat,None,6-60,Kick,None,65,0,0,1,0,1,0.0,1.0
52,Off Season 2025,SharkScale|None|4-60|UnderFlat|None,https://beybladexmeta.com/combo/SharkScale|None|4-60|UnderFlat|None?season=Off+Season+2025,SharkScale,None,4-60,UnderFlat,None,65,0,0,1,0,1,0.0,1.0
53,Off Season 2025,Blast|Assault|9-60|LowRush|None,https://beybladexmeta.com/combo/Blast|Assault|9-60|LowRush|None?season=Off+Season+2025,Blast,Assault,9-60,LowRush,None,63,0,1,0,0,1,0.0,1.0
54,Off Season 2025,PhoenixWing|None|3-60|Hexa|None,https://beybladexmeta.com/combo/PhoenixWing|None|3-60|Hexa|None?season=Off+Season+2025,PhoenixWing,None,3-60,Hexa,None,60,0,0,1,0,1,0.0,1.0
55,Off Season 2025,TyrannoRoar|None|3-70|Kick|None,https://beybladexmeta.com/combo/TyrannoRoar|None|3-70|Kick|None?season=Off+Season+2025,TyrannoRoar,None,3-70,Kick,None,60,0,0,1,0,1,0.0,1.0
56,Off Season 2025,SamuraiSaber|None|3-60|Hexa|None,https://beybladexmeta.com/combo/SamuraiSaber|None|3-60|Hexa|None?season=Off+Season+2025,SamuraiSaber,None,3-60,Hexa,None,60,0,0,1,0,1,0.0,1.0
57,Off Season 2025,SharkScale|None|9-60|LowRush|None,https://beybladexmeta.com/combo/SharkScale|None|9-60|LowRush|None?season=Off+Season+2025,SharkScale,None,9-60,LowRush,None,60,0,0,1,0,1,0.0,1.0
58,Off Season 2025,TyrannoBeat|None|1-70|Kick|None,https://beybladexmeta.com/combo/TyrannoBeat|None|1-70|Kick|None?season=Off+Season+2025,TyrannoBeat,None,1-70,Kick,None,60,0,0,1,0,1,0.0,1.0
59,Off Season 2025,Blast|Heavy|9-60|LowRush|None,https://beybladexmeta.com/combo/Blast|Heavy|9-60|LowRush|None?season=Off+Season+2025,Blast,Heavy,9-60,LowRush,None,56,0,1,0,0,1,0.0,1.0
60,Off Season 2025,PhoenixWing|None|None|Operate|None,https://beybladexmeta.com/combo/PhoenixWing|None|None|Operate|None?season=Off+Season+2025,PhoenixWing,None,None,Operate,None,56,0,1,0,0,1,0.0,1.0
61,Off Season 2025,SharkEdge|None|3-80|LowFlat|None,https://beybladexmeta.com/combo/SharkEdge|None|3-80|LowFlat|None?season=Off+Season+2025,SharkEdge,None,3-80,LowFlat,None,40,0,0,1,0,1,0.0,1.0
62,Off Season 2025,SamuraiSaber|None|7-60|Hexa|None,https://beybladexmeta.com/combo/SamuraiSaber|None|7-60|Hexa|None?season=Off+Season+2025,SamuraiSaber,None,7-60,Hexa,None,40,0,0,1,0,1,0.0,1.0
63,Off Season 2025,KnightMail|None|1-60|Point|None,https://beybladexmeta.com/combo/KnightMail|None|1-60|Point|None?season=Off+Season+2025,KnightMail,None,1-60,Point,None,40,0,0,1,0,1,0.0,1.0
64,Off Season 2025,WizardRod|None|5-60|Ball|None,https://beybladexmeta.com/combo/WizardRod|None|5-60|Ball|None?season=Off+Season+2025,WizardRod,None,5-60,Ball,None,24,0,0,0,1,1,0.0,0.0
